title,degrees,funds,date,location
Five scholarships of up to US$3000 for supply chain courses,"Master, Bachelor, Phd, Course",$3000,06-May-22,south-africa
International No-Essay Support Competition Scholarships 2022-2023,"Master, Bachelor, Course","Up to $2,000",20-Jan-23,south-africa
THGM MUSE Scholarship,Bachelor,US$500 or C$630,15-May-22,south-africa
Master in Business Administration 80% OFF your Tuition fee - Scholarship,Master,80% off tuition fee,15-May-22,south-africa
International Students Support Contest 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",30-Jun-23,south-africa
Human Resource (HR) - Free Course From Windsor University's MBA,"Master, Course",100% free,14-May-22,south-africa
Project Management - Free Course From Windsor University's MBA,Course,100% free,14-May-22,south-africa
International Students Diversity Contest 2022-2023,"Master, Bachelor, Phd, Course","Up to $2,000",22-Dec-22,nigeria
Master in Business Administration 80% OFF your Tuition fee,Master,80% Tuition Fees,15-Sep-22,nigeria
3 Month F1 Visa Study English in USA Scholarship with Windsor University,Course,$1455,01-Jul-22,nigeria
ArtUniverse,"Master, Course",Full or partial scholarship,30-Dec-22,nigeria
International Contest for Students Support 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",28-Apr-23,nigeria
Scholarships for Africa,"Master, Bachelor, Phd, Course",$100 to $3000,24-Mar-27,nigeria
LAPTOP Scholarships - study Supply Chains,"Master, Bachelor, Phd, Course",up to $3000,06-May-22,nigeria
TKS Full-Ride Scholarship,Course,"100% Tuition Fee [value of $6,000+]",31-May-22,nigeria
Five scholarships of up to US$3000 for supply chain courses,"Master, Bachelor, Phd, Course",$3000,06-May-22,nigeria
International No-Essay Support Competition Scholarships 2022-2023,"Master, Bachelor, Course","Up to $2,000",20-Jan-23,nigeria
THGM MUSE Scholarship,Bachelor,US$500 or C$630,15-May-22,nigeria
Master in Business Administration 80% OFF your Tuition fee - Scholarship,Master,80% off tuition fee,15-May-22,nigeria
International Students Support Contest 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",30-Jun-23,nigeria
Human Resource (HR) - Free Course From Windsor University's MBA,"Master, Course",100% free,14-May-22,nigeria
Project Management - Free Course From Windsor University's MBA,Course,100% free,14-May-22,nigeria
International Students Diversity Contest 2022-2023,"Master, Bachelor, Phd, Course","Up to $2,000",22-Dec-22,pakistan
Master in Business Administration 80% OFF your Tuition fee,Master,80% Tuition Fees,15-Sep-22,pakistan
3 Month F1 Visa Study English in USA Scholarship with Windsor University,Course,$1455,01-Jul-22,pakistan
ArtUniverse,"Master, Course",Full or partial scholarship,30-Dec-22,pakistan
International Contest for Students Support 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",28-Apr-23,pakistan
Scholarships for Africa,"Master, Bachelor, Phd, Course",$100 to $3000,24-Mar-27,pakistan
LAPTOP Scholarships - study Supply Chains,"Master, Bachelor, Phd, Course",up to $3000,06-May-22,pakistan
TKS Full-Ride Scholarship,Course,"100% Tuition Fee [value of $6,000+]",31-May-22,pakistan
Five scholarships of up to US$3000 for supply chain courses,"Master, Bachelor, Phd, Course",$3000,06-May-22,pakistan
International No-Essay Support Competition Scholarships 2022-2023,"Master, Bachelor, Course","Up to $2,000",20-Jan-23,pakistan
THGM MUSE Scholarship,Bachelor,US$500 or C$630,15-May-22,pakistan
Master in Business Administration 80% OFF your Tuition fee - Scholarship,Master,80% off tuition fee,15-May-22,pakistan
International Students Support Contest 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",30-Jun-23,pakistan
Human Resource (HR) - Free Course From Windsor University's MBA,"Master, Course",100% free,14-May-22,pakistan
Project Management - Free Course From Windsor University's MBA,Course,100% free,14-May-22,pakistan
International Students Diversity Contest 2022-2023,"Master, Bachelor, Phd, Course","Up to $2,000",22-Dec-22,india
Master in Business Administration 80% OFF your Tuition fee,Master,80% Tuition Fees,15-Sep-22,india
3 Month F1 Visa Study English in USA Scholarship with Windsor University,Course,$1455,01-Jul-22,india
ArtUniverse,"Master, Course",Full or partial scholarship,30-Dec-22,india
International Contest for Students Support 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",28-Apr-23,india
Scholarships for Africa,"Master, Bachelor, Phd, Course",$100 to $3000,24-Mar-27,india
LAPTOP Scholarships - study Supply Chains,"Master, Bachelor, Phd, Course",up to $3000,06-May-22,india
TKS Full-Ride Scholarship,Course,"100% Tuition Fee [value of $6,000+]",31-May-22,india
Five scholarships of up to US$3000 for supply chain courses,"Master, Bachelor, Phd, Course",$3000,06-May-22,india
International No-Essay Support Competition Scholarships 2022-2023,"Master, Bachelor, Course","Up to $2,000",20-Jan-23,india
THGM MUSE Scholarship,Bachelor,US$500 or C$630,15-May-22,india
Master in Business Administration 80% OFF your Tuition fee - Scholarship,Master,80% off tuition fee,15-May-22,india
International Students Support Contest 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",30-Jun-23,india
Human Resource (HR) - Free Course From Windsor University's MBA,"Master, Course",100% free,14-May-22,india
Project Management - Free Course From Windsor University's MBA,Course,100% free,14-May-22,india
LSA International Student Scholarships at Regents of the University of Michigan in USA,Bachelor,"Up to $10,000",,united-states
International No-Essay Support Competition Scholarships 2022-2023,"Master, Bachelor, Course","Up to $2,000",20-Jan-23,united-states
THGM MUSE Scholarship,Bachelor,US$500 or C$630,15-May-22,united-states
NLU Direct to Success Transfer Student Scholarship,Bachelor,25% Tuition Rate,31-Dec-22,united-states
Kendell College at NLU International Opportunity Scholarship,Bachelor,25% of the full-time tuition rate,31-Dec-22,united-states
NLU International Fresh Start Scholarship,Bachelor,44% tuition fee,31-Dec-22,united-states
National Louis University #YouAreWelcomeHere Scholarship,Bachelor,50% of full-time tuition,12-Jul-22,united-states
NLU Alumni Scholarship,"Master, Bachelor, Phd",15% Tuition Fee,31-Dec-22,united-states
Master in Business Administration 80% OFF your Tuition fee - Scholarship,Master,80% off tuition fee,15-May-22,united-states
International Students Support Contest 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",30-Jun-23,united-states
Tiffin University International Trustee Scholarships in USA,Bachelor,"$16,000",15-Jul-22,united-states
Tiffin University International President Scholarships in USA,Bachelor,"$14,000",15-Jul-22,united-states
Graduate International Scholarships at University of Central Oklahoma,Master,"Up to $2,000 ($1,000 per year)",31-May-22,united-states
International Opportunity Awards at Texas A&M University,Bachelor,"$100 to $15,000 p/a",01-Aug-22,united-states
Human Resource (HR) - Free Course From Windsor University's MBA,"Master, Course",100% free,14-May-22,united-states
Global Voices Scholarships at University of East Anglia,Master,"£20,000",03-Jun-22,united-kingdom
Postgraduate International Development Scholarships for Sub Saharan African Students in UK,Master,"£8,000",31-May-22,united-kingdom
Goodenough Scholarships,Master,"Up to £12,000",01-Jan-23,united-kingdom
International Contest for Students Support 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",28-Apr-23,united-kingdom
Scholarships for Africa,"Master, Bachelor, Phd, Course",$100 to $3000,24-Mar-27,united-kingdom
LAPTOP Scholarships - study Supply Chains,"Master, Bachelor, Phd, Course",up to $3000,06-May-22,united-kingdom
Sports Science: Fully Funded Swansea / DSTL PhD: Human response to prolonged heat exposure,Phd,Full cost of UK tuition fees and an annual stipend,25-May-22,united-kingdom
Medicine: Fully Funded Swansea & HMRI PhD Scholarship: Ovarian Cancer Chemoresistance,Phd,Full cost of tuition fees and an annual stipend,06-May-22,united-kingdom
Nanotechnology: Fully Funded Swansea University and European Commission PhD,Phd,Full cost of UK tuition fees and an annual stipend,04-May-22,united-kingdom
Materials Engineering: Fully Funded Swansea University and CISM PhD: Advanced Dielectrics,Phd,Full cost of UK tuition fees and an annual stipend,06-May-22,united-kingdom
Sanctuary Scholarship,"Master, Bachelor, Phd","Full-fee and £10,000 a year towards study costs",09-May-22,united-kingdom
Dean's International Excellence Scholarship,Master,Full-fee,,united-kingdom
Dean's UK Excellence Scholarship,Master,100% of fees,31-Jul-22,united-kingdom
Masters Excellence Scholarship,Master,50% of fees,30-Jun-22,united-kingdom
TKS Full-Ride Scholarship,Course,"100% Tuition Fee [value of $6,000+]",31-May-22,united-kingdom
Project Management - Free Course From Windsor University's MBA,Course,100% free,14-May-22,canada
Global No-Essay Contest Scholarships for International Students 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",31-Dec-22,canada
Eon Essay Contest on The Precipice,"Master, Bachelor, Phd","15,000 USD top prize; 42,000 USD total prizes",15-Jun-22,canada
John and Lena Graham Commonwealth Bursary at Dalhousie University,"Phd, Master","At least $2,000",31-Oct-22,canada
International Student Support Contest 2022-2023,"Master, Bachelor, Course",Multiple awards,31-Jan-23,canada
Excellence Scholarships for African Students Studying in English,Bachelor,"$17,500 - $25,000 tuition fee reduction",,canada
Online Islamic classes for kids,Course,40% off over all of our Islamic courses,31-Dec-22,canada
The Annual IELTS from 6 to 9 Scholarship,"Master, Bachelor, Phd","$1,000",01-Apr-23,canada
Scholarship for families want to learn Quran online,Course,50% off over all of our Quran courses,31-Dec-22,canada
Brock University Emerging Market Entrance International Awards,Bachelor,"$2,500",,canada
UBC International Talent Scholarships in Canada,Master,"$10,000 - $30,000",05-Jun-22,canada
P.E.O. International Scholar Awards,Phd,"$20,000",,canada
Ted Rogers School Graduate Entrance Scholarships for International Students at Ryerson University,Master,"$20,000",,canada
Contest Scholarship Programme for International Students 2022,"Master, Bachelor, Course","Up to $1,500",01-Jun-22,canada
Entrance international awards at LaSalle College Vancouver,"Master, Bachelor","Up to $10,000",,canada
Project Management - Free Course From Windsor University's MBA,Course,100% free,14-May-22,europe
Global No-Essay Contest Scholarships for International Students 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",31-Dec-22,europe
Eon Essay Contest on The Precipice,"Master, Bachelor, Phd","15,000 USD top prize; 42,000 USD total prizes",15-Jun-22,europe
Anonymous Hope Fund,"Master, Bachelor, Phd, Course",$3000,15-Jan-26,europe
International Student Support Contest 2022-2023,"Master, Bachelor, Course",Multiple awards,31-Jan-23,europe
Online Islamic classes for kids,Course,40% off over all of our Islamic courses,31-Dec-22,europe
The Annual IELTS from 6 to 9 Scholarship,"Master, Bachelor, Phd","$1,000",01-Apr-23,europe
Scholarship for families want to learn Quran online,Course,50% off over all of our Quran courses,31-Dec-22,europe
Contest Scholarship Programme for International Students 2022,"Master, Bachelor, Course","Up to $1,500",01-Jun-22,europe
International Scholarship Student Competition 2022,"Master, Bachelor, Course","Up to $2,000",01-Dec-22,europe
Global Contest Scholarships for International Students 2022,"Master, Bachelor, Course",Up to $2000 awards,31-Dec-22,europe
KDS International Scholarship Competition 2021-22,"Master, Bachelor, Course","Up to $1,500",01-Dec-22,europe
Professional Development Grants for International Students at University of Twente,"Course, Master","Up to $6,500",,europe
International Students Contest Scholarships 2021-2022,"Master, Bachelor",Up to $1500,01-Oct-22,europe
KDS Competition Scholarship 2021,"Master, Bachelor","Up to $1,500",01-Dec-22,europe
Global No-Essay Contest Scholarships for International Students 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",31-Dec-22,south-africa
Eon Essay Contest on The Precipice,"Master, Bachelor, Phd","15,000 USD top prize; 42,000 USD total prizes",15-Jun-22,south-africa
Anonymous Hope Fund,"Master, Bachelor, Phd, Course",$3000,15-Jan-26,south-africa
International Student Support Contest 2022-2023,"Master, Bachelor, Course",Multiple awards,31-Jan-23,south-africa
Online Islamic classes for kids,Course,40% off over all of our Islamic courses,31-Dec-22,south-africa
The Annual IELTS from 6 to 9 Scholarship,"Master, Bachelor, Phd","$1,000",01-Apr-23,south-africa
Scholarship for families want to learn Quran online,Course,50% off over all of our Quran courses,31-Dec-22,south-africa
Contest Scholarship Programme for International Students 2022,"Master, Bachelor, Course","Up to $1,500",01-Jun-22,south-africa
UFIC Diane Fisher Awards for International Students in USA,Bachelor,,,south-africa
International Scholarship Student Competition 2022,"Master, Bachelor, Course","Up to $2,000",01-Dec-22,south-africa
Global Contest Scholarships for International Students 2022,"Master, Bachelor, Course",Up to $2000 awards,31-Dec-22,south-africa
KDS International Scholarship Competition 2021-22,"Master, Bachelor, Course","Up to $1,500",01-Dec-22,south-africa
Professional Development Grants for International Students at University of Twente,"Course, Master","Up to $6,500",,south-africa
International Students Contest Scholarships 2021-2022,"Master, Bachelor",Up to $1500,01-Oct-22,south-africa
Thomas A Plein Endowed funding for International Students at University of Queensland,Bachelor,,,south-africa
Global No-Essay Contest Scholarships for International Students 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",31-Dec-22,nigeria
Eon Essay Contest on The Precipice,"Master, Bachelor, Phd","15,000 USD top prize; 42,000 USD total prizes",15-Jun-22,nigeria
Anonymous Hope Fund,"Master, Bachelor, Phd, Course",$3000,15-Jan-26,nigeria
International Student Support Contest 2022-2023,"Master, Bachelor, Course",Multiple awards,31-Jan-23,nigeria
Online Islamic classes for kids,Course,40% off over all of our Islamic courses,31-Dec-22,nigeria
The Annual IELTS from 6 to 9 Scholarship,"Master, Bachelor, Phd","$1,000",01-Apr-23,nigeria
Scholarship for families want to learn Quran online,Course,50% off over all of our Quran courses,31-Dec-22,nigeria
Contest Scholarship Programme for International Students 2022,"Master, Bachelor, Course","Up to $1,500",01-Jun-22,nigeria
UFIC Diane Fisher Awards for International Students in USA,Bachelor,,,nigeria
International Scholarship Student Competition 2022,"Master, Bachelor, Course","Up to $2,000",01-Dec-22,nigeria
Global Contest Scholarships for International Students 2022,"Master, Bachelor, Course",Up to $2000 awards,31-Dec-22,nigeria
KDS International Scholarship Competition 2021-22,"Master, Bachelor, Course","Up to $1,500",01-Dec-22,nigeria
Professional Development Grants for International Students at University of Twente,"Course, Master","Up to $6,500",,nigeria
International Students Contest Scholarships 2021-2022,"Master, Bachelor",Up to $1500,01-Oct-22,nigeria
Thomas A Plein Endowed funding for International Students at University of Queensland,Bachelor,,,nigeria
PEEF Scholarships,"Master, Bachelor, Phd, Course",Tuition fees and basic expenses,28-Feb-00,pakistan
Global No-Essay Contest Scholarships for International Students 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",31-Dec-22,pakistan
Eon Essay Contest on The Precipice,"Master, Bachelor, Phd","15,000 USD top prize; 42,000 USD total prizes",15-Jun-22,pakistan
Anonymous Hope Fund,"Master, Bachelor, Phd, Course",$3000,15-Jan-26,pakistan
International Student Support Contest 2022-2023,"Master, Bachelor, Course",Multiple awards,31-Jan-23,pakistan
Online Islamic classes for kids,Course,40% off over all of our Islamic courses,31-Dec-22,pakistan
The Annual IELTS from 6 to 9 Scholarship,"Master, Bachelor, Phd","$1,000",01-Apr-23,pakistan
Scholarship for families want to learn Quran online,Course,50% off over all of our Quran courses,31-Dec-22,pakistan
Contest Scholarship Programme for International Students 2022,"Master, Bachelor, Course","Up to $1,500",01-Jun-22,pakistan
International Scholarship Student Competition 2022,"Master, Bachelor, Course","Up to $2,000",01-Dec-22,pakistan
Global Contest Scholarships for International Students 2022,"Master, Bachelor, Course",Up to $2000 awards,31-Dec-22,pakistan
KDS International Scholarship Competition 2021-22,"Master, Bachelor, Course","Up to $1,500",01-Dec-22,pakistan
Professional Development Grants for International Students at University of Twente,"Course, Master","Up to $6,500",,pakistan
International Students Contest Scholarships 2021-2022,"Master, Bachelor",Up to $1500,01-Oct-22,pakistan
2021 Contest Scholarships for International Students,"Master, Bachelor, Course","Up to $1,500",01-Jun-22,pakistan
Global No-Essay Contest Scholarships for International Students 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",31-Dec-22,india
Eon Essay Contest on The Precipice,"Master, Bachelor, Phd","15,000 USD top prize; 42,000 USD total prizes",15-Jun-22,india
Anonymous Hope Fund,"Master, Bachelor, Phd, Course",$3000,15-Jan-26,india
International Student Support Contest 2022-2023,"Master, Bachelor, Course",Multiple awards,31-Jan-23,india
Online Islamic classes for kids,Course,40% off over all of our Islamic courses,31-Dec-22,india
The Annual IELTS from 6 to 9 Scholarship,"Master, Bachelor, Phd","$1,000",01-Apr-23,india
Scholarship for families want to learn Quran online,Course,50% off over all of our Quran courses,31-Dec-22,india
Contest Scholarship Programme for International Students 2022,"Master, Bachelor, Course","Up to $1,500",01-Jun-22,india
International Scholarship Student Competition 2022,"Master, Bachelor, Course","Up to $2,000",01-Dec-22,india
Global Contest Scholarships for International Students 2022,"Master, Bachelor, Course",Up to $2000 awards,31-Dec-22,india
50% scholarship for students based in India - University of Essex Online,"Master, Bachelor, Course",50% scholarship for all courses,21-Jul-22,india
KDS International Scholarship Competition 2021-22,"Master, Bachelor, Course","Up to $1,500",01-Dec-22,india
Professional Development Grants for International Students at University of Twente,"Course, Master","Up to $6,500",,india
International Students Contest Scholarships 2021-2022,"Master, Bachelor",Up to $1500,01-Oct-22,india
2021 Contest Scholarships for International Students,"Master, Bachelor, Course","Up to $1,500",01-Jun-22,india
CalArts Merit Scholarships for International Students in USA,"Bachelor, Master","$10,000 p.a.",,united-states
International Merit-Based Scholarships at Valparaiso University,Bachelor,Financial aid,,united-states
Project Management - Free Course From Windsor University's MBA,Course,100% free,14-May-22,united-states
Global No-Essay Contest Scholarships for International Students 2022-2023,"Master, Bachelor, Course","Up to $2,000 awards",31-Dec-22,united-states
E-waste Scholarship,"Master, Bachelor, Phd","$1,000",,united-states
Eon Essay Contest on The Precipice,"Master, Bachelor, Phd","15,000 USD top prize; 42,000 USD total prizes",15-Jun-22,united-states
Orangesoft Women in Technology Scholarship Program,"Master, Bachelor","$1,000",31-Oct-22,united-states
International Graduate Scholarships in USA,Master,"Up to $2,000",,united-states
LCBAS and Applied Sciences International Merit Awards in USA,"Bachelor, Master","$1,500",01-May-22,united-states
International Student Scholarships at Castleton University,Bachelor,"Up to $2,500 p.a.",,united-states
International Student Support Contest 2022-2023,"Master, Bachelor, Course",Multiple awards,31-Jan-23,united-states
Assisi Academic Scholarships for International Students at Marian University,Bachelor,"$8,000",,united-states
International Scholarships at Lake Region State College,"Bachelor, Master",50% off tuition fees,,united-states
Merit-Based Scholarships for International Students at Hartwick College,"Bachelor, Master","$15,000 - $28,000 p.a.",01-Oct-22,united-states
Online Islamic classes for kids,Course,40% off over all of our Islamic courses,31-Dec-22,united-states
Five scholarships of up to US$3000 for supply chain courses,"Master, Bachelor, Phd, Course",$3000,06-May-22,united-kingdom
University of Sussex International PhD Studentships in Mind and Material Culture,Phd,"Tuition fee, £15,609 p.a. + £2,000 research grant",10-May-22,united-kingdom
University of East Anglia Nigeria Awards in UK,Master,"Up to £5,000",,united-kingdom
International Women in Business Scholarships at Queen Mary University of London,Bachelor,"£4,000",01-Jun-22,united-kingdom
Dean’s International Bursary in Faculty of Arts,Bachelor,"£1,000 p.a. for two years",30-Jun-22,united-kingdom
Lancashire School of Business and Enterprise PhD Studentships in UK,Phd,"Tuition fees + £15,609 p.a.",30-May-22,united-kingdom
Kolade Scholarships for International Students at University of Exeter Business School,Master,"£12,500",30-Jun-22,united-kingdom
Global Excellence Scholarships at Queen Mary University of London,Master,"£2,000",02-Sep-22,united-kingdom
Niloufar Ebrahim Scholarships for International Students at Kingston University London,Master,"Up to £11,100.",01-Jun-22,united-kingdom
University of Manchester Merit-based Master’s International Scholarships in UK,Master,"£6,000",01-Jun-22,united-kingdom
Medical Engineering: Fully Funded EPSRC PhD Scholarship: AI approaches to cell imaging data,Phd,Full cost of UK tuition fees and an annual stipend,03-Jun-22,united-kingdom
Biosciences: Fully Funded PhD Scholarship at Swansea: Seagrass Restoration,Phd,Full cost of UK tuition fees and an annual stipend,06-May-22,united-kingdom
International No-Essay Support Competition Scholarships 2022-2023,"Master, Bachelor, Course","Up to $2,000",20-Jan-23,united-kingdom
THGM MUSE Scholarship,Bachelor,US$500 or C$630,15-May-22,united-kingdom
Master in Business Administration 80% OFF your Tuition fee - Scholarship,Master,80% off tuition fee,15-May-22,united-kingdom
Silver Anniversary Recruitment Graduate International Fellowships in Canada,Phd,"$20,000",,canada
International Scholarship Student Competition 2022,"Master, Bachelor, Course","Up to $2,000",01-Dec-22,canada
Global Contest Scholarships for International Students 2022,"Master, Bachelor, Course",Up to $2000 awards,31-Dec-22,canada
Mehran Bibi Sheikh Memorial Entrance Scholarships for International Students at Queen’s University,Bachelor,"$1,500",,canada
Engineering International Student Entrance Scholarships at University of Waterloo,Bachelor,"$10,000",,canada
Caribbean Scholarships at Niagara College,Bachelor,"$2,000",,canada
KDS International Scholarship Competition 2021-22,"Master, Bachelor, Course","Up to $1,500",01-Dec-22,canada
University of Waterloo Graduate international awards in Canada,"Master, Phd","Up to $3,000",,canada
Regional Graduate Program Entrance Scholarships for International Students at Conestoga College,Master,"$1,500",,canada
HEC Montréal MSc Entrance international awards in Canada,Master,"$5,000",,canada
Professional Development Grants for International Students at University of Twente,"Course, Master","Up to $6,500",,canada
English Proficiency Entrance Scholarships for International Students at Durham College,Bachelor,"Up to $1,500",,canada
B.C. Access Grants in Canada,Bachelor,"Up to $4,000 p.a.",,canada
International Students Contest Scholarships 2021-2022,"Master, Bachelor",Up to $1500,01-Oct-22,canada
Differential Tuition Fee Exemption international awards at University of Ottawa,"Master, Bachelor",Variable,,canada
2021 Contest Scholarships for International Students,"Master, Bachelor, Course","Up to $1,500",01-Jun-22,europe
FindDataLab Research Grant Programme in USA and EU,"Bachelor, Master, Phd, Course","Up to $1,000 towards web scraping serivces",,europe
